"id","bizparcategory","createdby","createddate","modifiedby","modifieddate","bizparkey","bizparstatus","bizparvalue"
221358,REQUEST_CERTIFICATE_TYPE,SYSTEM,2020-11-02 14:39:40,,,REQCERTYPE-001,ACTIVE,REGULAR
2,RECRUITMENT_TYPE,SYSTEM,2019-06-26 16:39:47,SYSTEM,2019-06-26 16:39:47,RECTYP-002,ACTIVE,EKSTERNAL
26,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:10,SYSTEM,2019-06-26 16:40:10,EDULVL-001,ACTIVE,SD
27,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:11,SYSTEM,2019-06-26 16:40:11,EDULVL-002,ACTIVE,SMP/MTS
28,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:12,SYSTEM,2019-06-26 16:40:12,EDULVL-003,ACTIVE,SMA/MA
29,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:13,SYSTEM,2019-06-26 16:40:13,EDULVL-004,ACTIVE,SMK/STM/MAK
30,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:14,SYSTEM,2019-06-26 16:40:14,EDULVL-005,ACTIVE,D1
31,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:15,SYSTEM,2019-06-26 16:40:15,EDULVL-006,ACTIVE,D2
32,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:16,SYSTEM,2019-06-26 16:40:16,EDULVL-007,ACTIVE,D3
33,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:17,SYSTEM,2019-06-26 16:40:17,EDULVL-008,ACTIVE,D4
34,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:18,SYSTEM,2019-06-26 16:40:18,EDULVL-009,ACTIVE,PROFESI
35,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:19,SYSTEM,2019-06-26 16:40:19,EDULVL-010,ACTIVE,S1
36,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:20,SYSTEM,2019-06-26 16:40:20,EDULVL-011,ACTIVE,S2
37,EDUCATION_LEVEL,SYSTEM,2019-06-26 16:40:21,SYSTEM,2019-06-26 16:40:21,EDULVL-012,ACTIVE,S3
221359,REQUEST_CERTIFICATE_TYPE,SYSTEM,2020-11-02 14:39:46,,,REQCERTYPE-002,ACTIVE,VISA
42,EDUCATION_DEPARTMENT,SYSTEM,2019-06-26 16:40:26,SYSTEM,2019-06-26 16:40:26,EDUDEP-005,ACTIVE,MANAGEMENT
59,RELIGION_TYPE,SYSTEM,2019-06-26 16:40:43,SYSTEM,2019-06-26 16:40:43,RLGTYP-001,ACTIVE,ISLAM
60,RELIGION_TYPE,SYSTEM,2019-06-26 16:40:44,SYSTEM,2019-06-26 16:40:44,RLGTYP-002,ACTIVE,KRISTEN
61,RELIGION_TYPE,SYSTEM,2019-06-26 16:40:45,SYSTEM,2019-06-26 16:40:45,RLGTYP-003,ACTIVE,KATOLIK
62,RELIGION_TYPE,SYSTEM,2019-06-26 16:40:46,SYSTEM,2019-06-26 16:40:46,RLGTYP-004,ACTIVE,HINDU
63,RELIGION_TYPE,SYSTEM,2019-06-26 16:40:47,SYSTEM,2019-06-26 16:40:47,RLGTYP-005,ACTIVE,BUDHA
64,MARITAL_STATUS,SYSTEM,2019-06-26 16:40:48,SYSTEM,2019-06-26 16:40:48,MARSTA-001,ACTIVE,LAJANG
65,MARITAL_STATUS,SYSTEM,2019-06-26 16:40:49,SYSTEM,2019-06-26 16:40:49,MARSTA-002,ACTIVE,MENIKAH
66,MARITAL_STATUS,SYSTEM,2019-06-26 16:40:50,SYSTEM,2019-06-26 16:40:50,MARSTA-003,ACTIVE,DUDA
67,MARITAL_STATUS,SYSTEM,2019-06-26 16:40:51,SYSTEM,2019-06-26 16:40:51,MARSTA-004,ACTIVE,JANDA
68,BLOOD_TYPE,SYSTEM,2019-06-26 16:40:52,SYSTEM,2019-06-26 16:40:52,BLOTYP-001,ACTIVE,A
69,BLOOD_TYPE,SYSTEM,2019-06-26 16:40:53,SYSTEM,2019-06-26 16:40:53,BLOTYP-002,ACTIVE,AB
48,EDUCATION_DEGREE_POSITION,SYSTEM,2019-06-26 16:40:32,SYSTEM,2019-06-26 16:40:32,EDDEPO-001,ACTIVE,DEPAN
49,EDUCATION_DEGREE_POSITION,SYSTEM,2019-06-26 16:40:33,SYSTEM,2019-06-26 16:40:33,EDDEPO-002,ACTIVE,BELAKANG
70,BLOOD_TYPE,SYSTEM,2019-06-26 16:40:54,SYSTEM,2019-06-26 16:40:54,BLOTYP-003,ACTIVE,B
71,BLOOD_TYPE,SYSTEM,2019-06-26 16:40:55,SYSTEM,2019-06-26 16:40:55,BLOTYP-004,ACTIVE,O
72,CLOTH_SIZE,SYSTEM,2019-06-26 16:40:56,SYSTEM,2019-06-26 16:40:56,CLOTYP-001,ACTIVE,X
73,CLOTH_SIZE,SYSTEM,2019-06-26 16:40:57,SYSTEM,2019-06-26 16:40:57,CLOTYP-002,ACTIVE,M 
74,CLOTH_SIZE,SYSTEM,2019-06-26 16:40:58,SYSTEM,2019-06-26 16:40:58,CLOTYP-003,ACTIVE,L 
75,CLOTH_SIZE,SYSTEM,2019-06-26 16:40:59,SYSTEM,2019-06-26 16:40:59,CLOTYP-004,ACTIVE,XL
76,CLOTH_SIZE,SYSTEM,2019-06-26 16:41:00,SYSTEM,2019-06-26 16:41:00,CLOTYP-005,ACTIVE,XXL
77,FAMILY_TYPE,SYSTEM,2019-06-26 16:41:01,SYSTEM,2019-06-26 16:41:01,FAMTYP-001,ACTIVE,KK
78,FAMILY_TYPE,SYSTEM,2019-06-26 16:41:02,SYSTEM,2019-06-26 16:41:02,FAMTYP-002,ACTIVE,OTHER
79,FAMILY_RELATIONAL_STATUS,SYSTEM,2019-06-26 16:41:03,SYSTEM,2019-06-26 16:41:03,FAMREL-001,ACTIVE,AYAH KANDUNG
9,RECRUITMENT_REQUEST_TYPE,SYSTEM,2019-06-26 16:39:53,SYSTEM,2019-06-26 16:39:53,RECREQ-003,ACTIVE,PROMOSI
11,RECRUITMENT_REQUEST_TYPE,SYSTEM,2019-06-26 16:39:55,SYSTEM,2019-06-26 16:39:55,RECREQ-005,ACTIVE,ROTASI
7,RECRUITMENT_REQUEST_TYPE,SYSTEM,2019-06-26 16:39:51,SYSTEM,2019-06-26 16:39:51,RECREQ-001,ACTIVE,PENAMBAHAN
3,RECRUITMENT_CATEGORY,SYSTEM,2019-06-26 16:39:47,SYSTEM,2019-06-26 16:39:47,RECCAT-001,ACTIVE,TETAP
4,RECRUITMENT_CATEGORY,SYSTEM,2019-06-26 16:39:48,SYSTEM,2019-06-26 16:39:48,RECCAT-002,ACTIVE,KONTRAK
22677,CORPORATE_POSITION,SYSTEM,2020-01-19 14:45:07,"",,LVL-000-KOMUT,ACTIVE,Komisaris Utama
13,EMPLOYEE_STATUS,SYSTEM,2019-06-26 16:39:57,SYSTEM,2019-10-01 04:56:14,EMPSTA-002,ACTIVE,TERMINATED
14,CATEGORY_EMPLOYEE_STATUS,SYSTEM,2019-06-26 16:39:58,SYSTEM,2019-06-26 16:39:58,CATEMP-001,ACTIVE,TETAP
15,CATEGORY_EMPLOYEE_STATUS,SYSTEM,2019-06-26 16:39:59,SYSTEM,2019-06-26 16:39:59,CATEMP-002,ACTIVE,KONTRAK
16,CATEGORY_EMPLOYEE_STATUS,SYSTEM,2019-06-26 16:40:00,SYSTEM,2019-06-26 16:40:00,CATEMP-003,ACTIVE,PERCOBAAN
19,CATEGORY_EMPLOYEE_STATUS,SYSTEM,2019-06-26 16:40:03,SYSTEM,2019-06-26 16:40:03,CATEMP-006,ACTIVE,TRAINEE
21,GENDER_TYPE,SYSTEM,2019-06-26 16:40:05,SYSTEM,2019-06-26 16:40:05,GENDER-002,ACTIVE,MALE
22,NATIONALITY_TYPE,SYSTEM,2019-06-26 16:40:06,SYSTEM,2019-06-26 16:40:06,NATION-001,ACTIVE,WNI
23,NATIONALITY_TYPE,SYSTEM,2019-06-26 16:40:07,SYSTEM,2019-06-26 16:40:07,NATION-002,ACTIVE,WNA
12,EMPLOYEE_STATUS,SYSTEM,2019-06-26 16:39:56,SYSTEM,2019-10-01 04:55:59,EMPSTA-001,ACTIVE,BLACKLISTED
