"id","esemail","esid","esname","essubcoid","estelpnumber","estype","eswebsite","createdby","createddate","modifiedby","modifieddate","esstatus","orglegaldocument","orgstructuretpl","parent","pic","bankaccounts","esnpwpnumber","taxoffice"
81,mail@mail.com,ES-1582013285991,KPNO - Bank Artha Graha Internasional,SUBCO-158201328599105,"0213456789","{""bizparKey"":""CORPTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""HO"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""13-09-2019 03:48:22"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",bagi@artha-graha.com,EMP-205,2020-02-18 15:01:22,SYSTEM,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1584091354380"",""orgStructureTPLName"":""TPL1"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1584091354380"",""orgStructureSKNumber"":""SK1"",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-1583824919548""}]","","",[],,
82,mail@mail.com,ES-1582013387942,KPO - Bank Artha Graha Internasional,SUBCO-158201338794347,"0213456789","{""bizparKey"":""CORPTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""BRANCH"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""13-09-2019 03:48:16"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",bagi@artha-graha.com,EMP-205,2020-02-18 15:01:22,,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}",,ES-1582013285991,,[],,
83,mail@mail.com,ES-1582013479525,KC - Kantor Cabang Suryopranoto,SUBCO-158201347952619,"0213456789","{""bizparKey"":""CORPTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""BRANCH"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""13-09-2019 03:48:16"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",bagi@artha-graha.com,EMP-205,2020-02-18 15:01:22,,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}",,ES-1582013387942,,[],,
67,mail@corp.com,ES-1578882439915,CORP-001,SUBCO-157888243991519,"02293899","{""bizparKey"":""CORPTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""BRANCH"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""13-09-2019 03:48:16"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}","",EMP-205,2020-01-13 09:22:35,EMP-205,2020-01-14 07:07:13,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":""document/es_doc/ES_DOC_ES-1578882439915_response.pdf""}","[{""orgStructureTPLID"":""OS-1578888944351"",""orgStructureTPLName"":""TPLNM"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1578888944351"",""orgStructureSKNumber"":""SK"",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-1572836068685""}]",ES-1578625013442,,,,
84,mail@mail.com,ES-1582013563782,KCP - Kantor Cabang Pembantu Roxy Mas,SUBCO-158201356378243,"0213456789","{""bizparKey"":""CORPTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""BRANCH"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""13-09-2019 03:48:16"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",bagi@artha-graha.com,EMP-205,2020-02-18 15:01:22,,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}",,ES-1582013479525,,[],,
225,co_secretary@ag.co.id,ES-1580515085150,Bank Artha Graha Setia Budi Bandung (KCP),SUBCO-158051508515005,"021","{""bizparKey"":""KCP"",""bizparStatus"":""ACTIVE"",""bizparValue"":""Kantor Cabang Pembantu"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""08-01-2020 15:47:00"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""27-01-2020 10:43:59""},""bizparCategory"":""CORPORATE_TYPE""}","",BBFCF480,2020-02-01 06:44:50,EMP-205,2020-03-05 08:23:15,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1580895552328"",""orgStructureTPLName"":""KCP Setiabudi - BDG"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1580895552328"",""orgStructureSKNumber"":""KCP Setiabudi - BDG"",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-1580536623041""}]",ES-1580514739531,,,,
290,"",ES-1602209525531,AGP,SUBCO-160220952553105,"000","{""bizparKey"":""CORPTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""HO"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""13-09-2019 03:48:22"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}","",EMP-205,2020-10-09 09:10:26,SYSTEM,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1602209555535"",""orgStructureTPLName"":""TEMPLATE AGP"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1602209555535"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-1602208047343""}]","","",[],,
289,"",ES-1602209488306,Cola Mangga Jambu,SUBCO-160220948830628,"021","{""bizparKey"":""CORPTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""HO"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""13-09-2019 03:48:22"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}",colamanggajambu.co.id,EMP-205,2020-10-09 09:05:57,SYSTEM,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}","[{""orgStructureTPLID"":""OS-1602210756655"",""orgStructureTPLName"":""Template raja mangga"",""orgStructureStartDate"":null,""orgStructureEndDate"":null,""isOrgStructureDefault"":true,""orgStructureTag"":""V-1602210756656"",""orgStructureSKNumber"":"""",""orgStructureTPLStatus"":""ACTIVE"",""referenceOrgStructureTPLID"":""STR-5C2FDF""}]","","",[],,
303,"",ES-TEST-5NOV2020,motor bebek ES,SUBCO-160456431756537,"123132131","{""bizparKey"":""CORPTYPE-KC"",""bizparStatus"":""ACTIVE"",""bizparValue"":""KC"",""bizparCreationalDTO"":{""createdBy"":""EMP-205"",""createdDate"":""25-02-2020 13:11:26"",""modifiedBy"":""EMP-205"",""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}","",EMP-205,2020-11-05 15:17:17,,,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}",,ES-1603776157206,,[],,"{""taxOfficeID"":""TAXOFF-75613A9E"",""taxOfficeName"":""KPP pratama Kebayoran Baru"",""taxOfficeZipCode"":14045,""district"":{""kabkotID"":""3173"",""kabkotName"":""KOTA ADM. JAKARTA PUSAT"",""setkecamatan"":[{""kecamatanID"":""317302"",""kecamatanName"":""SAWAH BESAR"",""zipCode"":"""",""setkelurahanDTOs"":[{""kelurahanID"":""3173020002"",""kelurahanName"":""KARANG ANYAR"",""subZipcode"":""145596"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:48"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:46""}},{""kelurahanID"":""3173020001"",""kelurahanName"":""PASAR BARU"",""subZipcode"":""145595"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:45""}},{""kelurahanID"":""3173020003"",""kelurahanName"":""KARTINI"",""subZipcode"":""145597"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:49"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:47""}},{""kelurahanID"":""3173020005"",""kelurahanName"":""MANGGA DUA SELATAN"",""subZipcode"":""145599"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:51"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:49""}},{""kelurahanID"":""3173020004"",""kelurahanName"":""GUNUNG SAHARI UTARA"",""subZipcode"":""145598"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:50"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:48""}}],""kecamatanStatus"":""ACTIVE"",""kecamatanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""22-11-2023 19:08:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""22-11-2023 19:08:09""}},{""kecamatanID"":""317305"",""kecamatanName"":""CEMPAKA PUTIH"",""zipCode"":"""",""setkelurahanDTOs"":[{""kelurahanID"":""3173050002"",""kelurahanName"":""CEMPAKA PUTIH BARAT"",""subZipcode"":""145615"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:07"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:05""}},{""kelurahanID"":""3173050003"",""kelurahanName"":""RAWASARI"",""subZipcode"":""145616"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:08"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:06""}},{""kelurahanID"":""3173050001"",""kelurahanName"":""CEMPAKA PUTIH TIMUR"",""subZipcode"":""145614"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:06"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:04""}}],""kecamatanStatus"":""ACTIVE"",""kecamatanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""25-11-2023 19:08:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""25-11-2023 19:08:09""}},{""kecamatanID"":""317307"",""kecamatanName"":""TANAH ABANG"",""zipCode"":"""",""setkelurahanDTOs"":[{""kelurahanID"":""3173070007"",""kelurahanName"":""KAMPUNG BALI"",""subZipcode"":""145628"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:20"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:18""}},{""kelurahanID"":""3173070001"",""kelurahanName"":""GELORA"",""subZipcode"":""145622"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:14"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:12""}},{""kelurahanID"":""3173070003"",""kelurahanName"":""KARET TENGSIN"",""subZipcode"":""145624"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:16"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:14""}},{""kelurahanID"":""3173070004"",""kelurahanName"":""PETAMBURAN"",""subZipcode"":""145625"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:17"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:15""}},{""kelurahanID"":""3173070002"",""kelurahanName"":""BENDUNGAN HILIR"",""subZipcode"":""145623"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:15"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:13""}},{""kelurahanID"":""3173070005"",""kelurahanName"":""KEBON MELATI"",""subZipcode"":""145626"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:18"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:16""}},{""kelurahanID"":""3173070006"",""kelurahanName"":""KEBON KACANG"",""subZipcode"":""145627"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:19"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:17""}}],""kecamatanStatus"":""ACTIVE"",""kecamatanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""27-11-2023 19:08:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""27-11-2023 19:08:09""}},{""kecamatanID"":""317308"",""kecamatanName"":""JOHAR BARU"",""zipCode"":"""",""setkelurahanDTOs"":[{""kelurahanID"":""3173080001"",""kelurahanName"":""JOHAR BARU"",""subZipcode"":""145629"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:21"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:19""}},{""kelurahanID"":""3173080003"",""kelurahanName"":""GALUR"",""subZipcode"":""145631"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:23"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:21""}},{""kelurahanID"":""3173080002"",""kelurahanName"":""KAMPUNG RAWA"",""subZipcode"":""145630"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:22"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:20""}},{""kelurahanID"":""3173080004"",""kelurahanName"":""TANAH TINGGI"",""subZipcode"":""145632"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:24"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:22""}}],""kecamatanStatus"":""ACTIVE"",""kecamatanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""28-11-2023 19:08:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""28-11-2023 19:08:09""}},{""kecamatanID"":""317303"",""kecamatanName"":""KEMAYORAN"",""zipCode"":"""",""setkelurahanDTOs"":[{""kelurahanID"":""3173030006"",""kelurahanName"":""CEMPAKA BARU"",""subZipcode"":""145605"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:57"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:55""}},{""kelurahanID"":""3173030003"",""kelurahanName"":""HARAPAN MULIA"",""subZipcode"":""145602"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:54"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:52""}},{""kelurahanID"":""3173030005"",""kelurahanName"":""GUNUNG SAHARI SELATAN"",""subZipcode"":""145604"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:56"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:54""}},{""kelurahanID"":""3173030002"",""kelurahanName"":""KEBON KOSONG"",""subZipcode"":""145601"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:53"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:51""}},{""kelurahanID"":""3173030001"",""kelurahanName"":""KEMAYORAN"",""subZipcode"":""145600"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:52"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:50""}},{""kelurahanID"":""3173030007"",""kelurahanName"":""SUMUR BATU"",""subZipcode"":""145606"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:58"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:56""}},{""kelurahanID"":""3173030004"",""kelurahanName"":""SERDANG"",""subZipcode"":""145603"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:55"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:53""}},{""kelurahanID"":""3173030008"",""kelurahanName"":""UTAN PANJANG"",""subZipcode"":""145607"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:59"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:57""}}],""kecamatanStatus"":""ACTIVE"",""kecamatanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-11-2023 19:08:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""23-11-2023 19:08:09""}},{""kecamatanID"":""317304"",""kecamatanName"":""SENEN"",""zipCode"":"""",""setkelurahanDTOs"":[{""kelurahanID"":""3173040004"",""kelurahanName"":""KRAMAT"",""subZipcode"":""145611"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:03"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:01""}},{""kelurahanID"":""3173040001"",""kelurahanName"":""SENEN"",""subZipcode"":""145608"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:00"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:58""}},{""kelurahanID"":""3173040002"",""kelurahanName"":""KENARI"",""subZipcode"":""145609"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:01"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:59""}},{""kelurahanID"":""3173040003"",""kelurahanName"":""PASEBAN"",""subZipcode"":""145610"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:02"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:00""}},{""kelurahanID"":""3173040005"",""kelurahanName"":""KWITANG"",""subZipcode"":""145612"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:04"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:02""}},{""kelurahanID"":""3173040006"",""kelurahanName"":""BUNGUR"",""subZipcode"":""145613"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:05"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:03""}}],""kecamatanStatus"":""ACTIVE"",""kecamatanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""24-11-2023 19:08:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-11-2023 19:08:09""}},{""kecamatanID"":""317306"",""kecamatanName"":""MENTENG"",""zipCode"":"""",""setkelurahanDTOs"":[{""kelurahanID"":""3173060001"",""kelurahanName"":""MENTENG"",""subZipcode"":""145617"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:07""}},{""kelurahanID"":""3173060004"",""kelurahanName"":""GONDANGDIA"",""subZipcode"":""145620"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:12"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:10""}},{""kelurahanID"":""3173060005"",""kelurahanName"":""KEBON SIRIH"",""subZipcode"":""145621"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:13"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:11""}},{""kelurahanID"":""3173060003"",""kelurahanName"":""CIKINI"",""subZipcode"":""145619"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:11"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:09""}},{""kelurahanID"":""3173060002"",""kelurahanName"":""PEGANGSAAN"",""subZipcode"":""145618"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:14:10"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:11:08""}}],""kecamatanStatus"":""ACTIVE"",""kecamatanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-11-2023 19:08:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-11-2023 19:08:09""}},{""kecamatanID"":""317301"",""kecamatanName"":""GAMBIR"",""zipCode"":"""",""setkelurahanDTOs"":[{""kelurahanID"":""3173010006"",""kelurahanName"":""DURI PULO"",""subZipcode"":""145594"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:46"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:44""}},{""kelurahanID"":""3173010002"",""kelurahanName"":""CIDENG"",""subZipcode"":""145590"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:42"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:40""}},{""kelurahanID"":""3173010003"",""kelurahanName"":""PETOJO UTARA"",""subZipcode"":""145591"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:43"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:41""}},{""kelurahanID"":""3173010004"",""kelurahanName"":""PETOJO SELATAN"",""subZipcode"":""145592"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:44"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:42""}},{""kelurahanID"":""3173010001"",""kelurahanName"":""GAMBIR"",""subZipcode"":""145589"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:41"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:39""}},{""kelurahanID"":""3173010005"",""kelurahanName"":""KEBON KELAPA"",""subZipcode"":""145593"",""kelurahanStatus"":""ACTIVE"",""kelurahanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""03-07-2019 20:13:45"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""24-05-2019 21:10:43""}}],""kecamatanStatus"":""ACTIVE"",""kecamatanCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""21-11-2023 19:08:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""21-11-2023 19:08:09""}}],""latitudeKabkot"":null,""longitudeKabkot"":null,""kabkotStatus"":""ACTIVE"",""kabkotCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""05-08-2018 19:08:09"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""05-08-2018 19:08:09""}},""taxOfficeStatus"":""ACTIVE"",""taxOfficeCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""05-11-2020 04:29:05"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""05-11-2020 04:32:45""}}"
72,co_secretary@bagi.co.id,ES-1579082963137,BANK ARTHA GRAHA,SUBCO-157908296313723,"021","{""bizparKey"":""CORPTYP-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""HO"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""13-09-2019 03:48:22"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CORPORATE_TYPE""}","",EMP-205,2020-01-15 17:09:15,EMP-205,2020-01-21 14:18:53,ACTIVE,"{""orgLegalDocumentID"":null,""orgLegalDocumentURL"":null}",[],,,,,
