"id","roleid","createdby","createddate","modifiedby","modifieddate","userroleid","userrolestatus","userid"
29129,R_MOBILE_ABSENCE_POINT,SYSTEM,2020-11-02 05:57:07,,,"206AR_MOBILE_ABSENCE_POINT",ACTIVE,"09656420"
36233,R_WEB_DASHBOARD,EMP-205,2020-11-03 12:57:17,,,"6DF09FE0-1D99-11EB-BA3A-CDEAB6DAE7EB",ACTIVE,"27C76DE8"
29131,R_WEB_ACCESS,SYSTEM,2020-11-02 05:57:07,,,FA28R_WEB_ACCESS,ACTIVE,"09656420"
29132,R_MOBILE_ATTENDANCE,SYSTEM,2020-11-02 05:57:07,,,CD78R_MOBILE_ATTENDANCE,ACTIVE,"09656420"
29133,R_WEB_ESS,SYSTEM,2020-11-02 05:57:07,,,CABDR_WEB_ESS,ACTIVE,"09656420"
723,R_WEB_ESS,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_ESS,ACTIVE,ADM-001
717,R_WEB_CONFIGURATION,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_CONFIGURATION,ACTIVE,ADM-001
718,R_WEB_USER_MGT,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_USER_MGT,ACTIVE,ADM-001
719,R_WEB_MASTERDATA,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_MASTERDATA,ACTIVE,ADM-001
720,R_WEB_RECRUITMENT,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_RECRUITMENT,ACTIVE,ADM-001
721,R_WEB_PERSONNEL,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_PERSONNEL,ACTIVE,ADM-001
722,R_WEB_REPORT,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_REPORT,ACTIVE,ADM-001
724,R_WEB_TRAINING,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_TRAINING,ACTIVE,ADM-001
715,R_WEB_DASHBOARD,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_DASHBOARD,ACTIVE,ADM-001
716,R_WEB_INBOX,SYSTEM,2019-07-03 16:04:55,,,ADM001_R_WEB_INBOX,ACTIVE,ADM-001
758,R_WEB_ACCESS,SYSTEM,2019-07-03 16:04:55,,,ADM001_WEB_ACCESS,ACTIVE,ADM-001
759,R_MOBILE_ACCESS,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_ACCESS,ACTIVE,ADM-001
760,R_MOBILE_BIODATA,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_BIODATA,ACTIVE,ADM-001
29134,R_MOBILE_ACCESS,SYSTEM,2020-11-02 05:57:07,,,"6462R_MOBILE_ACCESS",ACTIVE,"09656420"
762,R_MOBILE_ABSENCE_POINT,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_ABSENCE_POINT,ACTIVE,ADM-001
763,R_MOBILE_ATTENDANCE,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_ATTENDANCE,ACTIVE,ADM-001
764,R_MOBILE_LEAVES,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_LEAVES,ACTIVE,ADM-001
765,R_MOBILE_OVERTIME,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_OVERTIME,ACTIVE,ADM-001
29135,R_MOBILE_BIODATA,SYSTEM,2020-11-02 05:57:07,,,D2ECR_MOBILE_BIODATA,ACTIVE,"09656420"
29137,R_MOBILE_ACCESS,SYSTEM,2020-11-02 05:57:07,,,"31A8R_MOBILE_ACCESS",ACTIVE,C2494150
29138,R_WEB_ESS,SYSTEM,2020-11-02 05:57:07,,,"75D9R_WEB_ESS",ACTIVE,C2494150
29139,R_MOBILE_ABSENCE_POINT,SYSTEM,2020-11-02 05:57:07,,,"86DDR_MOBILE_ABSENCE_POINT",ACTIVE,C2494150
29140,R_WEB_ACCESS,SYSTEM,2020-11-02 05:57:07,,,"64FER_WEB_ACCESS",ACTIVE,C2494150
29142,R_MOBILE_ATTENDANCE,SYSTEM,2020-11-02 05:57:07,,,"8791R_MOBILE_ATTENDANCE",ACTIVE,C2494150
29143,R_MOBILE_BIODATA,SYSTEM,2020-11-02 05:57:07,,,"60FCR_MOBILE_BIODATA",ACTIVE,C2494150
29145,R_MOBILE_ATTENDANCE,SYSTEM,2020-11-02 05:57:10,,,AD21R_MOBILE_ATTENDANCE,ACTIVE,C2BEA7EB
29146,R_WEB_ESS,SYSTEM,2020-11-02 05:57:10,,,ED17R_WEB_ESS,ACTIVE,C2BEA7EB
29147,R_MOBILE_ACCESS,SYSTEM,2020-11-02 05:57:10,,,"273FR_MOBILE_ACCESS",ACTIVE,C2BEA7EB
29148,R_WEB_ACCESS,SYSTEM,2020-11-02 05:57:10,,,"2B4AR_WEB_ACCESS",ACTIVE,C2BEA7EB
29150,R_MOBILE_ABSENCE_POINT,SYSTEM,2020-11-02 05:57:10,,,"66C7R_MOBILE_ABSENCE_POINT",ACTIVE,C2BEA7EB
766,R_MOBILE_TAX_PPH,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_TAX_PPH,ACTIVE,ADM-001
767,R_MOBILE_BIZ_TRIP,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_BIZ_TRIP,ACTIVE,ADM-001
769,R_MOBILE_TRAINING,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_TRAINING,ACTIVE,ADM-001
770,R_MOBILE_SCAN_EMPLOYEE,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_SCAN_EMPLOYEE,ACTIVE,ADM-001
771,R_MOBILE_CHANGE_PASSWORD,SYSTEM,2019-07-03 16:04:55,,,ADM001_MOBILE_CHANGE_PASSWORD,ACTIVE,ADM-001
29151,R_MOBILE_BIODATA,SYSTEM,2020-11-02 05:57:10,,,"69EBR_MOBILE_BIODATA",ACTIVE,C2BEA7EB
29153,R_MOBILE_ACCESS,SYSTEM,2020-11-02 05:57:10,,,"11B0R_MOBILE_ACCESS",ACTIVE,"2A303161"
29154,R_WEB_ACCESS,SYSTEM,2020-11-02 05:57:10,,,"580ER_WEB_ACCESS",ACTIVE,"2A303161"
29156,R_MOBILE_ATTENDANCE,SYSTEM,2020-11-02 05:57:10,,,AFCCR_MOBILE_ATTENDANCE,ACTIVE,"2A303161"
29157,R_MOBILE_BIODATA,SYSTEM,2020-11-02 05:57:10,,,AE72R_MOBILE_BIODATA,ACTIVE,"2A303161"
29158,R_MOBILE_ABSENCE_POINT,SYSTEM,2020-11-02 05:57:10,,,"1A47R_MOBILE_ABSENCE_POINT",ACTIVE,"2A303161"
