id,corporateholidayid,corporateholidayphotourl,esid,createdby,createddate,modifiedby,modifieddate,holidaydate,holidayenddate,holidayname,holidaystartdate,holidaystatus,holidaytype,isallday
1,COPHOL-1606103710001,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 10:56,EMP-105958,,1/1/2020,1/1/2020 23:59,TAHUN BARU 2020 MASEHI,1/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
2,COPHOL-1606103710002,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 10:57,EMP-105958,,1/25/2020,1/25/2020 23:59,TAHUN BARU IMLEK 2571 KONGZLI,1/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
3,COPHOL-1606103710003,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 10:57,EMP-105958,,3/22/2020,3/22/2020 23:59,ISRA' MIRAJ NABI MUHAMMAD SAW,3/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
4,COPHOL-1606103710004,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:18,EMP-105958,,3/25/2020,3/25/2020 23:59,HARI RAYA NYEPI TAHUN BARU SAKA 1941,3/25/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
5,COPHOL-1606103710005,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:19,EMP-105958,,4/10/2020,4/10/2020 23:59,WAFAT ISA AL-MASIH,4/10/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
6,COPHOL-1606103710006,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:19,EMP-105958,,5/1/2020,5/1/2020 23:59,HARI BURUH INTERNASIONAL,5/1/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
7,COPHOL-1606103710007,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:19,EMP-105958,,5/7/2020,5/7/2020 23:59,HARI RAYA WAISAK 2564,5/7/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
8,COPHOL-1606103710008,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:22,EMP-105958,,5/21/2020,5/21/2020 23:59,KENAIKAN ISA AL MASIH,5/21/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
9,COPHOL-1606103710009,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:23,EMP-105958,,5/22/2020,5/22/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/22/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-02"",""bizparStatus"":""ACTIVE"",""bizparValue"":""CUTI BERSAMA"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
10,COPHOL-1606103710010,,"{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}",EMP-105958,11/23/2020 11:24,EMP-105958,,5/24/2020,5/24/2020 23:59,HARI RAYA IDUL FITRI 1441 HIJRIAH,5/24/2020 0:00,ACTIVE,"{""bizparKey"":""HOLSTAT-01"",""bizparStatus"":""ACTIVE"",""bizparValue"":""LIBUR NASIONAL"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""26-06-2019 16:39:47"",""modifiedBy"":""SYSTEM"",""modifiedDate"":""26-06-2019 16:40:03""},""bizparCategory"":""HOLIDAY_STATUS""}",TRUE
