id,calendartype,createdby,createddate,modifiedby,modifieddate,corporateofficehourenddate,corporateofficehourid,corporateofficehourname,corporateofficehourphotourl,corporateofficehourstartdate,corporateofficehourstatus,corporateofficehourtype,daytype,esid
1,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:53,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708310001,NORMAL THURDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""THURSDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:06"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}"
2,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:53,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708310002,NORMAL FRIDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-005"",""bizparStatus"":""ACTIVE"",""bizparValue"":""FRIDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:14"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}"
3,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:54,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708310003,OFF SATURDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFF OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:45"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SATURDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:25"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}"
4,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:55,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708310004,OFF SUNDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFF OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:45"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-007"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SUNDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:35"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}"
5,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:51,EMP-013438,11/30/2020 12:08,11/30/2020 17:00,COPOFFHOU-1606708310005,NORMAL TUESDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""TUESDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:17:19"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}"
6,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:50,EMP-013438,11/30/2020 12:08,11/30/2020 17:00,COPOFFHOU-1606708310006,NORMAL MONDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""MONDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:16:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}"
7,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:52,EMP-105958,11/30/2020 10:56,11/30/2020 17:00,COPOFFHOU-1606708310007,NORMAL WEDNESDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-003"",""bizparStatus"":""ACTIVE"",""bizparValue"":""WEDNESDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:17:29"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890793920"",""essubcoID"":""SUBCO-160489079392053"",""esname"":""Bank Artha Graha Sudirman (KPNO)""}"
8,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:53,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708320001,NORMAL THURDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-004"",""bizparStatus"":""ACTIVE"",""bizparValue"":""THURSDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:06"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890991120"",""essubcoID"":""SUBCO-160489099112011"",""esname"":""Bank Artha Graha Sudirman (KCI)""}"
9,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:53,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708320002,NORMAL FRIDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-002"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:51"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-005"",""bizparStatus"":""ACTIVE"",""bizparValue"":""FRIDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:14"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890991120"",""essubcoID"":""SUBCO-160489099112011"",""esname"":""Bank Artha Graha Sudirman (KCI)""}"
10,"{""bizparKey"":""CALTYP-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""GREGORIAN"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:20:07"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""CALENDAR_TYPE""}",EMP-105958,11/30/2020 10:54,EMP-105958,11/30/2020 10:57,11/30/2020 17:00,COPOFFHOU-1606708320003,OFF SATURDAY,,11/30/2020 8:30,ACTIVE,"{""bizparKey"":""OFHOTY-001"",""bizparStatus"":""ACTIVE"",""bizparValue"":""OFF OFFICE HOUR"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:21:45"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""OFFICE_HOUR_TYPE""}","{""bizparKey"":""DAY-006"",""bizparStatus"":""ACTIVE"",""bizparValue"":""SATURDAY"",""bizparCreationalDTO"":{""createdBy"":""SYSTEM"",""createdDate"":""23-08-2019 09:19:25"",""modifiedBy"":null,""modifiedDate"":null},""bizparCategory"":""DAY_TYPE""}","{""esid"":""ES-1604890991120"",""essubcoID"":""SUBCO-160489099112011"",""esname"":""Bank Artha Graha Sudirman (KCI)""}"
