bizparcategory,bizparkey,bizparvalue
CORPORATE_DIRECTORATE,CD-003,SUPPORT PROCESS
CORPORATE_DIRECTORATE,CD-001,STRATEGY PROCESS
CORPORATE_DIRECTORATE,CD-002,CORE PROCESS
CORPORATE_SUB_DIRECTORATE,CD-003-LEG,Legal
CORPORATE_SUB_DIRECTORATE,CD-003-ASP,Admin Sekretaris Perusahaan
CORPORATE_SUB_DIRECTORATE,CD-001-SDP,Sistem dan Prosedur (Termasuk Corplan)
CORPORATE_SUB_DIRECTORATE,CD-001-KP,Kepatuhan (Termasuk Internal Control)
CORPORATE_SUB_DIRECTORATE,CD-001-MRK,Manajemen Resiko Kredit
CORPORATE_SUB_DIRECTORATE,CD-001-MNRK,Manajemen Non Resiko Kredit
CORPORATE_SUB_DIRECTORATE,CD-001-SKAI,SKAI
CORPORATE_SUB_DIRECTORATE,CD-002-PP,Pengembangan Produk
CORPORATE_SUB_DIRECTORATE,CD-002-KNK,"Korporasi dan Komersil 1,2 dan 3"
CORPORATE_SUB_DIRECTORATE,CD-002-RUMKM,Ritel dan UMKM
CORPORATE_SUB_DIRECTORATE,CD-002-KSR,Konsumer
CORPORATE_SUB_DIRECTORATE,CD-002-OP,Operation
CORPORATE_SUB_DIRECTORATE,CD-002-RMDL,Remedial
CORPORATE_SUB_DIRECTORATE,CD-002-SAM,SAM
CORPORATE_SUB_DIRECTORATE,CD-002-HI,Hubungan Internasional
CORPORATE_SUB_DIRECTORATE,CD-003-SDMGA,SDM dan GA
CORPORATE_SUB_DIRECTORATE,CD-003-FC,Fincon
CORPORATE_SUB_DIRECTORATE,CD-003-DBIT,Digital Banking dan IT
CORPORATE_SUB_DIRECTORATE,CD-003-AK,Admin Kredit
LANE_TYPE,F0009,FLOW SPECIFICALLY FOR EXECUTIVE OFFICER @BRANCH (KCI/KCP/KPO/KK)
LANE_TYPE,F0008,FLOW SPECIFICALLY FOR SENIOR OFFICER KANTOR LAYANAN @BRANCH (KCI/KCP/KPO/KK)
LANE_TYPE,F0007,FLOW SPECIFICALLY FOR EMPLOYEE BUSINESS @BRANCH (KCI/KCP/KPO/KK)
LANE_TYPE,F0006,FLOW SPECIFICALLY FOR EMPLOYEE NON BUSINESS @BRANCH (KCI/KCP/KPO/KK)
LANE_TYPE,F0005,FLOW SPECIFICALLY FOR EMPLOYEE ON COMISSIONER LEVEL @KPNO
LANE_TYPE,F0004,FLOW SPECIFICALLY FOR EMPLOYEE THAT NEED DIRECT APPROVAL TO PRESIDENT DIRECTORE @KPNO
LANE_TYPE,F0003,FLOW SPECIFICALLY FOR EMPLOYEE THAT NEED DIRECT APPROVAL TO ASSOCIATE DIRECTORE / DIRECTORE @KPNO
LANE_TYPE,F0002,FLOW SPECIFICALLY FOR EMPLOYEE EXECUTIVE OFFICER @KPNO
LANE_TYPE,F0001,FLOW SPECIFICALLY FOR EMPLOYEE UNDER EXECUTIVE OFFICER @KPNO
