ouCNBTPLID,ouCNCTPLID,ouIPPTPLID,ouTaxTPLID,laneType,oUGrade,oUHashChild,oUID,oUJobDescription,oULevel,oUParentID,oUPayrollTaxTPLID,oUPosition
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793761324,GRADE-002;	2153000-5418000	;FAC-1603793761324,GRADE-003;	2369000-5961000	;FAC-1603793761324,GRADE-004;	5167000-10334000	;FAC-1603793761324,GRADE-005;	6718000-13346000	;FAC-1603793761324,GRADE-006;	8734000-17466000	;FAC-1603793761324,GRADE-007;	11355000-22710000	;FAC-1603793761324,GRADE-008;	14762000-29524000	;FAC-1603793761324,GRADE-009;	19191000-38382000	;FAC-1603793761324,GRADE-010;	25908000-51816000	;FAC-1603793761324,GRADE-011;	34976000-69525000	;FAC-1603793761324,GRADE-012;	47218000-69952000	;FAC-1603793761324,GRADE-013;	47218000-69952000	;FAC-1603793761324,GRADE-014;	1957000-4925000	;FAC-1603793761324",TRUE,OUID-KOMUT10001,Komisaris Utama                                   ,LVL-000,NULL,PAY-1580288169116,LVL-000-KOMUT
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-WKKOMUT10002,Wakil Komisaris Utama                             ,LVL-000,OUID-KOMUT10001,PAY-1580288169116,LVL-000-WKKOMUT
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SKWKU10003,Sekretaris Wakil Komisaris Utama                  ,LVL-006,OUID-WKKOMUT10002,PAY-1580288169116,LVL-006-SKWKU
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603779454254,GRADE-002;	2153000-5418000	;FAC-1603779454254,GRADE-003;	2369000-5961000	;FAC-1603779454254,GRADE-004;	5167000-10334000	;FAC-1603779454254,GRADE-005;	6718000-13346000	;FAC-1603779454254,GRADE-006;	8734000-17466000	;FAC-1603779454254,GRADE-007;	11355000-22710000	;FAC-1603779454254,GRADE-008;	14762000-29524000	;FAC-1603779454254,GRADE-009;	19191000-38382000	;FAC-1603779454254,GRADE-010;	25908000-51816000	;FAC-1603779454254,GRADE-011;	34976000-69525000	;FAC-1603779454254,GRADE-012;	47218000-69952000	;FAC-1603779454254,GRADE-013;	47218000-69952000	;FAC-1603779454254,GRADE-014;	1957000-4925000	;FAC-1603779454254",TRUE,OUID-KMRIS10004,Komisaris                                         ,LVL-000,OUID-KOMUT10001,PAY-1580288169116,LVL-000-KMRIS
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SKKOM10005,Sekretariat Komisaris                             ,LVL-006,OUID-KMRIS10004,PAY-1580288169116,LVL-006-SKKOM
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603861551890,GRADE-002;	2153000-5418000	;FAC-1603861551890,GRADE-003;	2369000-5961000	;FAC-1603861551890,GRADE-004;	5167000-10334000	;FAC-1603861551890,GRADE-005;	6718000-13346000	;FAC-1603861551890,GRADE-006;	8734000-17466000	;FAC-1603861551890,GRADE-007;	11355000-22710000	;FAC-1603861551890,GRADE-008;	14762000-29524000	;FAC-1603861551890,GRADE-009;	19191000-38382000	;FAC-1603861551890,GRADE-010;	25908000-51816000	;FAC-1603861551890,GRADE-011;	34976000-69525000	;FAC-1603861551890,GRADE-012;	47218000-69952000	;FAC-1603861551890,GRADE-013;	47218000-69952000	;FAC-1603861551890,GRADE-014;	1957000-4925000	;FAC-1603861551890",TRUE,OUID-DRUTM10006,Direktur Utama                                    ,LVL-001,OUID-KMRIS10004,PAY-1580288169116,LVL-001-DRUTM
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793815873,GRADE-002;	2153000-5418000	;FAC-1603793815873,GRADE-003;	2369000-5961000	;FAC-1603793815873,GRADE-004;	5167000-10334000	;FAC-1603793815873,GRADE-005;	6718000-13346000	;FAC-1603793815873,GRADE-006;	8734000-17466000	;FAC-1603793815873,GRADE-007;	11355000-22710000	;FAC-1603793815873,GRADE-008;	14762000-29524000	;FAC-1603793815873,GRADE-009;	19191000-38382000	;FAC-1603793815873,GRADE-010;	25908000-51816000	;FAC-1603793815873,GRADE-011;	34976000-69525000	;FAC-1603793815873,GRADE-012;	47218000-69952000	;FAC-1603793815873,GRADE-013;	47218000-69952000	;FAC-1603793815873,GRADE-014;	1957000-4925000	;FAC-1603793815873",TRUE,OUID-WKDUT10007,Wakil Direktur Utama                              ,LVL-001,OUID-DRUTM10006,PAY-1580288169116,LVL-001-WKDUT
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SKDUT10008,Sekretaris Direktur Utama                         ,LVL-006,OUID-DRUTM10006,PAY-1580288169116,LVL-006-SKDUT
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793792694,GRADE-002;	2153000-5418000	;FAC-1603793792694,GRADE-003;	2369000-5961000	;FAC-1603793792694,GRADE-004;	5167000-10334000	;FAC-1603793792694,GRADE-005;	6718000-13346000	;FAC-1603793792694,GRADE-006;	8734000-17466000	;FAC-1603793792694,GRADE-007;	11355000-22710000	;FAC-1603793792694,GRADE-008;	14762000-29524000	;FAC-1603793792694,GRADE-009;	19191000-38382000	;FAC-1603793792694,GRADE-010;	25908000-51816000	;FAC-1603793792694,GRADE-011;	34976000-69525000	;FAC-1603793792694,GRADE-012;	47218000-69952000	;FAC-1603793792694,GRADE-013;	47218000-69952000	;FAC-1603793792694,GRADE-014;	1957000-4925000	;FAC-1603793792694",TRUE,OUID-SKDRK10009,Sekretaris Direksi                                ,LVL-006,OUID-DRUTM10006,PAY-1580288169116,LVL-006-SKDRK
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603793885578,GRADE-002;	2153000-5418000	;FAC-1603793885578,GRADE-003;	2369000-5961000	;FAC-1603793885578,GRADE-004;	5167000-10334000	;FAC-1603793885578,GRADE-005;	6718000-13346000	;FAC-1603793885578,GRADE-006;	8734000-17466000	;FAC-1603793885578,GRADE-007;	11355000-22710000	;FAC-1603793885578,GRADE-008;	14762000-29524000	;FAC-1603793885578,GRADE-009;	19191000-38382000	;FAC-1603793885578,GRADE-010;	25908000-51816000	;FAC-1603793885578,GRADE-011;	34976000-69525000	;FAC-1603793885578,GRADE-012;	47218000-69952000	;FAC-1603793885578,GRADE-013;	47218000-69952000	;FAC-1603793885578,GRADE-014;	1957000-4925000	;FAC-1603793885578",TRUE,OUID-BRDRK10010,Biro Direksi                                      ,LVL-001,OUID-DRUTM10006,PAY-1580288169116,LVL-001-BRDRK
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,,"GRADE-001;	1957000-4925000	;FAC-1603779164791,GRADE-002;	2153000-5418000	;FAC-1603779164791,GRADE-003;	2369000-5961000	;FAC-1603779164791,GRADE-004;	5167000-10334000	;FAC-1603779164791,GRADE-005;	6718000-13346000	;FAC-1603779164791,GRADE-006;	8734000-17466000	;FAC-1603779164791,GRADE-007;	11355000-22710000	;FAC-1603779164791,GRADE-008;	14762000-29524000	;FAC-1603779164791,GRADE-009;	19191000-38382000	;FAC-1603779164791,GRADE-010;	25908000-51816000	;FAC-1603779164791,GRADE-011;	34976000-69525000	;FAC-1603779164791,GRADE-012;	47218000-69952000	;FAC-1603779164791,GRADE-013;	47218000-69952000	;FAC-1603779164791,GRADE-014;	1957000-4925000	;FAC-1603779164791",TRUE,OUID-DDSDU10011,Deputi Direktur SDM & GA                  ,LVL-003,OUID-BRDRK10010,PAY-1580288169116,LVL-003-DDSDU
