id,bizparcategory,createdby,createddate,modifiedby,modifieddate,bizparkey,bizparstatus,bizparvalue
5001,DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,DOCTYP-024,ACTIVE,APLIKASI CALON KARYAWAN
5002,DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,DOCTYP-025,ACTIVE,ETIKA BISNIS
5003,DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,DOCTYP-026,ACTIVE,FORM PENGUNDURAN DIRI
5004,DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,DOCTYP-027,ACTIVE,PAKTA INTEGRITAS
5005,DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,DOCTYP-028,ACTIVE,PSIKOTES
5006,DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,DOCTYP-029,ACTIVE,RIWAYAT PEKERJAAN
5007,DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,DOCTYP-030,ACTIVE,SERTIFIKAT TRAINING
5008,DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,DOCTYP-031,ACTIVE,SURAT PERNYATAAN KARYAWAN MASUK
5009,LOAN_CATEGORY,SYSTEM,1/19/2020 14:45,,,LOANCAT-004,ACTIVE,ARTHA GUNA
5010,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-005,ACTIVE,"DUDA, 1 ANAK"
5011,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-006,ACTIVE,"DUDA, 2 ANAK"
5012,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-007,ACTIVE,"DUDA, 3 ANAK"
5013,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-008,ACTIVE,"DUDA, 4 ANAK"
5014,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-009,ACTIVE,"DUDA, 5 ANAK"
5015,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-010,ACTIVE,"DUDA, 6 ANAK"
5016,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-011,ACTIVE,"DUDA, 7 ANAK"
5017,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-012,ACTIVE,"JANDA, 1 ANAK"
5018,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-013,ACTIVE,"JANDA, 2 ANAK"
5019,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-014,ACTIVE,"JANDA, 3 ANAK"
5020,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-015,ACTIVE,"JANDA, 4 ANAK"
5021,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-016,ACTIVE,"JANDA, 5 ANAK"
5022,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-017,ACTIVE,"JANDA, 6 ANAK"
5023,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-018,ACTIVE,"JANDA, 7 ANAK"
5024,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-019,ACTIVE,"MENIKAH, 1 ANAK"
5025,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-020,ACTIVE,"MENIKAH, 2 ANAK"
5026,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-021,ACTIVE,"MENIKAH, 3 ANAK"
5027,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-022,ACTIVE,"MENIKAH, 4 ANAK"
5028,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-023,ACTIVE,"MENIKAH, 5 ANAK"
5029,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-024,ACTIVE,"MENIKAH, 6 ANAK"
5030,MARITAL_STATUS,SYSTEM,1/19/2020 14:45,,,MARSTA-025,ACTIVE,"MENIKAH, 7 ANAK"
5031,MOVEMENT_CATEGORY,SYSTEM,1/19/2020 14:45,,,MOVTYP-008-MOVCAT-001,ACTIVE,BREAK
5032,MOVEMENT_CATEGORY,SYSTEM,1/19/2020 14:45,,,MOVTYP-008-MOVCAT-002,ACTIVE,KARYAWAN NON AKTIF
5033,MOVEMENT_CATEGORY,SYSTEM,1/19/2020 14:45,,,MOVTYP-008-MOVCAT-003,ACTIVE,PENCABUTAN SK
5034,MOVEMENT_CATEGORY,SYSTEM,1/19/2020 14:45,,,MOVTYP-008-MOVCAT-004,ACTIVE,PENSIUN 
5035,MOVEMENT_CATEGORY,SYSTEM,1/19/2020 14:45,,,MOVTYP-008-MOVCAT-005,ACTIVE,PERPANJANGAN KONTRAK
5036,MOVEMENT_CATEGORY,SYSTEM,1/19/2020 14:45,,,MOVTYP-008-MOVCAT-006,ACTIVE,PUTUS KONTRAK
5037,MOVEMENT_TYPE,SYSTEM,1/19/2020 14:45,,,MOVTYP-008,ACTIVE,LAIN-LAIN
5038,TERMINATION_DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,TERMDOCTYP-009,ACTIVE,Formulir Pencabutan Status Rekening Karyawan
5039,TERMINATION_DOCUMENT_TYPE,SYSTEM,1/19/2020 14:45,,,TERMDOCTYP-010,ACTIVE,Formulir User ID Non Core
5040,TERMINATION_CATEGORY,SYSTEM,1/19/2020 14:45,,,TERTYP-003-TERCAT-001,ACTIVE,MANGKIR BEKERJA
5041,LEAVE_CATEGORY,SYSTEM,1/19/2020 14:45,,,LEATYP-003-LEACAT-017,ACTIVE,Cuti Sakit berkepanjangan
5042,FACILITY_TYPE,SYSTEM,1/19/2020 14:45,,,FACTYP-007,ACTIVE,ID CARD
5043,FACILITY_TYPE,SYSTEM,1/19/2020 14:45,,,FACTYP-008,ACTIVE,SERAGAM
5044,FACILITY_TYPE,SYSTEM,1/19/2020 14:45,,,FACTYP-009,ACTIVE,ATK
5045,FACILITY_TYPE,SYSTEM,1/19/2020 14:45,,,FACTYP-010,ACTIVE,TUNJANGAN LAINNYA
5046,FACILITY_CATEGORY,SYSTEM,1/19/2020 14:45,,,FACTYP-007-FACCAT-001,ACTIVE,ID CARD
5047,FACILITY_CATEGORY,SYSTEM,1/19/2020 14:45,,,FACTYP-008-FACCAT-001,ACTIVE,SERAGAM
5048,FACILITY_CATEGORY,SYSTEM,1/19/2020 14:45,,,FACTYP-009-FACCAT-001,ACTIVE,LAPTOP
5049,FACILITY_CATEGORY,SYSTEM,1/19/2020 14:45,,,FACTYP-009-FACCAT-002,ACTIVE,MEJA KERJA
5050,FACILITY_CATEGORY,SYSTEM,1/19/2020 14:45,,,FACTYP-009-FACCAT-003,ACTIVE,LOKER KARYAWAN
5051,FACILITY_CATEGORY,SYSTEM,1/19/2020 14:45,,,FACTYP-009-FACCAT-004,ACTIVE,PERSONAL KOMPUTER
5052,FACILITY_CATEGORY,SYSTEM,1/19/2020 14:45,,,FACTYP-010-FACCAT-001,ACTIVE,UANG MAKAN
