ouCNBTPLID,ouCNCTPLID,ouIPPTPLID,ouTaxTPLID,laneType,oUGrade,oUHashChild,oUID,oUJobDescription,oULevel,oUParentID,oUPayrollTaxTPLID,oUPosition
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	0-999999	;FAC-1603779039850;GRADE-002;	1000000-1999999	;FAC-1603779039850;GRADE-003;	2000000-2999999	;FAC-1603779039850;GRADE-004;	3000000-3999999	;FAC-1603779039850;GRADE-005;	4000000-4999999	;FAC-1603779039850;GRADE-006;	5000000-5999999	;FAC-1603779039850;GRADE-007;	6000000-6999999	;FAC-1603779039850;GRADE-008;	7000000-7999999	;FAC-1603779039850;GRADE-009;	8000000-8999999	;FAC-1603779039850;GRADE-010;	9000000-9999999	;FAC-1603779039850;GRADE-011;	10000000-10999999	;FAC-1603779039850;GRADE-012;	11000000-11999999	;FAC-1603779039850;GRADE-013;	12000000-12999999	;FAC-1603779039850;GRADE-014;	13000000-13999999	;FAC-1603779039850",TRUE,OUID-EOKCI01001,Executive Officer KC Suryopranoto - JKT,LVL-003,NULL,PAY-1580288169116,LVL-003-EOKCI
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	0-999999	;FAC-1603782562305;GRADE-002;	1000000-1999999	;FAC-1603782562305;GRADE-003;	2000000-2999999	;FAC-1603782562305;GRADE-004;	3000000-3999999	;FAC-1603782562305;GRADE-005;	4000000-4999999	;FAC-1603782562305;GRADE-006;	5000000-5999999	;FAC-1603782562305;GRADE-007;	6000000-6999999	;FAC-1603782562305;GRADE-008;	7000000-7999999	;FAC-1603782562305;GRADE-009;	8000000-8999999	;FAC-1603782562305;GRADE-010;	9000000-9999999	;FAC-1603782562305;GRADE-011;	10000000-10999999	;FAC-1603782562305;GRADE-012;	11000000-11999999	;FAC-1603782562305;GRADE-013;	12000000-12999999	;FAC-1603782562305;GRADE-014;	13000000-13999999	;FAC-1603782562305",TRUE,OUID-STCLCA01002,Staff Collection Cabang ,LVL-006,OUID-EOKCI01001,PAY-1580288169116,LVL-006-STCLCA
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	0-999999	;FAC-1603778664950;GRADE-002;	1000000-1999999	;FAC-1603778664950;GRADE-003;	2000000-2999999	;FAC-1603778664950;GRADE-004;	3000000-3999999	;FAC-1603778664950;GRADE-005;	4000000-4999999	;FAC-1603778664950;GRADE-006;	5000000-5999999	;FAC-1603778664950;GRADE-007;	6000000-6999999	;FAC-1603778664950;GRADE-008;	7000000-7999999	;FAC-1603778664950;GRADE-009;	8000000-8999999	;FAC-1603778664950;GRADE-010;	9000000-9999999	;FAC-1603778664950;GRADE-011;	10000000-10999999	;FAC-1603778664950;GRADE-012;	11000000-11999999	;FAC-1603778664950;GRADE-013;	12000000-12999999	;FAC-1603778664950;GRADE-014;	13000000-13999999	;FAC-1603778664950",TRUE,OUID-SOTLD01003,Senior Officer Team Leader,LVL-005,OUID-EOKCI01001,PAY-1580288169116,LVL-005-SOTLD
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	0-999999	;FAC-1603778452842;GRADE-002;	1000000-1999999	;FAC-1603778452842;GRADE-003;	2000000-2999999	;FAC-1603778452842;GRADE-004;	3000000-3999999	;FAC-1603778452842;GRADE-005;	4000000-4999999	;FAC-1603778452842;GRADE-006;	5000000-5999999	;FAC-1603778452842;GRADE-007;	6000000-6999999	;FAC-1603778452842;GRADE-008;	7000000-7999999	;FAC-1603778452842;GRADE-009;	8000000-8999999	;FAC-1603778452842;GRADE-010;	9000000-9999999	;FAC-1603778452842;GRADE-011;	10000000-10999999	;FAC-1603778452842;GRADE-012;	11000000-11999999	;FAC-1603778452842;GRADE-013;	12000000-12999999	;FAC-1603778452842;GRADE-014;	13000000-13999999	;FAC-1603778452842",TRUE,OUID-AOFFR01004,Account officer ,LVL-006,OUID-EOKCI01001,PAY-1580288169116,LVL-006-AOFFR
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-001,"GRADE-001;	0-999999	;FAC-1603782562305;GRADE-002;	1000000-1999999	;FAC-1603782562305;GRADE-003;	2000000-2999999	;FAC-1603782562305;GRADE-004;	3000000-3999999	;FAC-1603782562305;GRADE-005;	4000000-4999999	;FAC-1603782562305;GRADE-006;	5000000-5999999	;FAC-1603782562305;GRADE-007;	6000000-6999999	;FAC-1603782562305;GRADE-008;	7000000-7999999	;FAC-1603782562305;GRADE-009;	8000000-8999999	;FAC-1603782562305;GRADE-010;	9000000-9999999	;FAC-1603782562305;GRADE-011;	10000000-10999999	;FAC-1603782562305;GRADE-012;	11000000-11999999	;FAC-1603782562305;GRADE-013;	12000000-12999999	;FAC-1603782562305;GRADE-014;	13000000-13999999	;FAC-1603782562305",TRUE,OUID-AAOFF01005,Assistant Account Officer,LVL-006,OUID-EOKCI01001,PAY-1580288169116,LVL-006-AAOFF
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	0-999999	;FAC-1603778266357;GRADE-002;	1000000-1999999	;FAC-1603778266357;GRADE-003;	2000000-2999999	;FAC-1603778266357;GRADE-004;	3000000-3999999	;FAC-1603778266357;GRADE-005;	4000000-4999999	;FAC-1603778266357;GRADE-006;	5000000-5999999	;FAC-1603778266357;GRADE-007;	6000000-6999999	;FAC-1603778266357;GRADE-008;	7000000-7999999	;FAC-1603778266357;GRADE-009;	8000000-8999999	;FAC-1603778266357;GRADE-010;	9000000-9999999	;FAC-1603778266357;GRADE-011;	10000000-10999999	;FAC-1603778266357;GRADE-012;	11000000-11999999	;FAC-1603778266357;GRADE-013;	12000000-12999999	;FAC-1603778266357;GRADE-014;	13000000-13999999	;FAC-1603778266357",TRUE,OUID-SOKLI01006,Senior Officer Kantor Layanan KC Suryopranoto - JKT                     ,LVL-005,OUID-EOKCI01001,PAY-1580288169116,LVL-005-SOKLI
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	0-999999	;FAC-1603782562305;GRADE-002;	1000000-1999999	;FAC-1603782562305;GRADE-003;	2000000-2999999	;FAC-1603782562305;GRADE-004;	3000000-3999999	;FAC-1603782562305;GRADE-005;	4000000-4999999	;FAC-1603782562305;GRADE-006;	5000000-5999999	;FAC-1603782562305;GRADE-007;	6000000-6999999	;FAC-1603782562305;GRADE-008;	7000000-7999999	;FAC-1603782562305;GRADE-009;	8000000-8999999	;FAC-1603782562305;GRADE-010;	9000000-9999999	;FAC-1603782562305;GRADE-011;	10000000-10999999	;FAC-1603782562305;GRADE-012;	11000000-11999999	;FAC-1603782562305;GRADE-013;	12000000-12999999	;FAC-1603782562305;GRADE-014;	13000000-13999999	;FAC-1603782562305",TRUE,OUID-SACBG01007,Staff Admin Cabang,LVL-006,OUID-SOKLI01006,PAY-1580288169116,LVL-006-SACBG
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	0-999999	;FAC-1603782562305;GRADE-002;	1000000-1999999	;FAC-1603782562305;GRADE-003;	2000000-2999999	;FAC-1603782562305;GRADE-004;	3000000-3999999	;FAC-1603782562305;GRADE-005;	4000000-4999999	;FAC-1603782562305;GRADE-006;	5000000-5999999	;FAC-1603782562305;GRADE-007;	6000000-6999999	;FAC-1603782562305;GRADE-008;	7000000-7999999	;FAC-1603782562305;GRADE-009;	8000000-8999999	;FAC-1603782562305;GRADE-010;	9000000-9999999	;FAC-1603782562305;GRADE-011;	10000000-10999999	;FAC-1603782562305;GRADE-012;	11000000-11999999	;FAC-1603782562305;GRADE-013;	12000000-12999999	;FAC-1603782562305;GRADE-014;	13000000-13999999	;FAC-1603782562305",TRUE,OUID-CAOFF01008,Cash Officer                                      ,LVL-006,OUID-SOKLI01006,PAY-1580288169116,LVL-006-CAOFF
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	0-999999	;FAC-1603782562305;GRADE-002;	1000000-1999999	;FAC-1603782562305;GRADE-003;	2000000-2999999	;FAC-1603782562305;GRADE-004;	3000000-3999999	;FAC-1603782562305;GRADE-005;	4000000-4999999	;FAC-1603782562305;GRADE-006;	5000000-5999999	;FAC-1603782562305;GRADE-007;	6000000-6999999	;FAC-1603782562305;GRADE-008;	7000000-7999999	;FAC-1603782562305;GRADE-009;	8000000-8999999	;FAC-1603782562305;GRADE-010;	9000000-9999999	;FAC-1603782562305;GRADE-011;	10000000-10999999	;FAC-1603782562305;GRADE-012;	11000000-11999999	;FAC-1603782562305;GRADE-013;	12000000-12999999	;FAC-1603782562305;GRADE-014;	13000000-13999999	;FAC-1603782562305",TRUE,OUID-HDTLL01009,Head Teller                                       ,LVL-006,OUID-SOKLI01006,PAY-1580288169116,LVL-006-HDTLL
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	0-999999	;FAC-1603782562305;GRADE-002;	1000000-1999999	;FAC-1603782562305;GRADE-003;	2000000-2999999	;FAC-1603782562305;GRADE-004;	3000000-3999999	;FAC-1603782562305;GRADE-005;	4000000-4999999	;FAC-1603782562305;GRADE-006;	5000000-5999999	;FAC-1603782562305;GRADE-007;	6000000-6999999	;FAC-1603782562305;GRADE-008;	7000000-7999999	;FAC-1603782562305;GRADE-009;	8000000-8999999	;FAC-1603782562305;GRADE-010;	9000000-9999999	;FAC-1603782562305;GRADE-011;	10000000-10999999	;FAC-1603782562305;GRADE-012;	11000000-11999999	;FAC-1603782562305;GRADE-013;	12000000-12999999	;FAC-1603782562305;GRADE-014;	13000000-13999999	;FAC-1603782562305",TRUE,OUID-TLLER01010,Teller                                            ,LVL-006,OUID-SOKLI01006,PAY-1580288169116,LVL-006-TLLER
CNBTPL-1603787695457,,,TAX-TPL-1603788542082,LT-002,"GRADE-001;	0-999999	;FAC-1603782562305;GRADE-002;	1000000-1999999	;FAC-1603782562305;GRADE-003;	2000000-2999999	;FAC-1603782562305;GRADE-004;	3000000-3999999	;FAC-1603782562305;GRADE-005;	4000000-4999999	;FAC-1603782562305;GRADE-006;	5000000-5999999	;FAC-1603782562305;GRADE-007;	6000000-6999999	;FAC-1603782562305;GRADE-008;	7000000-7999999	;FAC-1603782562305;GRADE-009;	8000000-8999999	;FAC-1603782562305;GRADE-010;	9000000-9999999	;FAC-1603782562305;GRADE-011;	10000000-10999999	;FAC-1603782562305;GRADE-012;	11000000-11999999	;FAC-1603782562305;GRADE-013;	12000000-12999999	;FAC-1603782562305;GRADE-014;	13000000-13999999	;FAC-1603782562305",TRUE,OUID-HDCSV01011,Head Customer Service                             ,LVL-006,OUID-SOKLI01006,PAY-1580288169116,LVL-006-HDCSV
