"id","bizparcategory","createdby","createddate","modifiedby","modifieddate","bizparkey","bizparstatus","bizparvalue"
579,CORPORATE_POSITION,SYSTEM,2019-09-13 03:49:54,,,DHR,ACTIVE,DIRECTOR OF HR
580,CORPORATE_POSITION,SYSTEM,2019-09-13 03:50:11,,,DAS,ACTIVE,DIRECTOR OF ASSET
581,CORPORATE_POSITION,SYSTEM,2019-09-13 03:50:24,,,MT,ACTIVE,MANAGER OF TALENT
582,CORPORATE_POSITION,SYSTEM,2019-09-13 03:50:43,,,MA,ACTIVE,MANAGER OF ACCOUNTING
577,CORPORATE_POSITION,SYSTEM,2019-09-13 03:49:18,,,CEO,ACTIVE,CHIEF EXECUTIVE OFFICER
578,CORPORATE_POSITION,SYSTEM,2019-09-13 03:49:36,,,CFO,ACTIVE,CHIEF OF FINANCE OFFICER
583,CORPORATE_POSITION,SYSTEM,2019-09-13 03:51:04,,,HT,ACTIVE,HEAD OF TREASURY
678,CORPORATE_POSITION,SYSTEM,2019-11-07 14:16:13,SYSTEM,2019-11-07 07:27:22,SPV,ACTIVE,SUPERVISOR
679,CORPORATE_POSITION,SYSTEM,2019-11-07 14:16:13,,,ADM,ACTIVE,ADMIN
671,CORPORATE_POSITION,SYSTEM,2019-11-06 10:24:04,,,CORP_STS1,ACTIVE,STAFF 
681,CORPORATE_POSITION,SYSTEM,2019-11-11 07:05:48,SYSTEM,2019-11-11 02:31:55,ITS,ACTIVE,IT SUPPORT
684,CORPORATE_POSITION,SYSTEM,2019-11-12 10:44:03,,,ITINF,ACTIVE,IT INFRASTRUCTURE
727,CORPORATE_POSITION,SYSTEM,2019-11-27 06:53:55,,,STAFFADMIN,ACTIVE,SYSTEM ADMIN
728,CORPORATE_POSITION,SYSTEM,2019-11-27 06:54:57,,,STAFFBE,ACTIVE,BACK-END DEVELOPER
729,CORPORATE_POSITION,SYSTEM,2019-11-27 06:55:03,,,STAFFFE,ACTIVE,FRONT-END DEVELOPER
730,CORPORATE_POSITION,SYSTEM,2019-11-27 06:55:28,,,STAFFBA,ACTIVE,BUSINESS ANALYSIS
731,CORPORATE_POSITION,SYSTEM,2019-11-27 06:55:45,,,STAFFQA,ACTIVE,QUALITY ASSURANCE
732,CORPORATE_POSITION,SYSTEM,2019-11-27 06:56:48,,,STAFFSALE,ACTIVE,STAFF SALES
733,CORPORATE_POSITION,SYSTEM,2019-11-27 06:56:59,,,STAFFPROMOTION,ACTIVE,STAFF PROMOTION
734,CORPORATE_POSITION,SYSTEM,2019-11-27 06:57:11,,,STAFFPARTNER,ACTIVE,STAFF PARTNERSHIP
735,CORPORATE_POSITION,SYSTEM,2019-11-27 06:57:49,,,STAFFREPORT,ACTIVE,STAFF REPORTING
736,CORPORATE_POSITION,SYSTEM,2019-11-27 07:02:16,,,DRIS,ACTIVE,DIRECTURE OF IT SUPPORT
737,CORPORATE_POSITION,SYSTEM,2019-11-27 07:02:34,,,DRP,ACTIVE,DIRECTURE OF PROCUDTION
738,CORPORATE_POSITION,SYSTEM,2019-11-27 07:02:54,,,DRSAL,ACTIVE,DIRECTURE OF SALES
714,CORPORATE_POSITION,SYSTEM,2019-11-27 06:43:59,,,HDREC,ACTIVE,HEAD DEPARTEMENT OF RECRUITMENT
715,CORPORATE_POSITION,SYSTEM,2019-11-27 06:46:10,,,HDPAY,ACTIVE,HEAD DEPARTEMENT OF PAYROLL
716,CORPORATE_POSITION,SYSTEM,2019-11-27 06:46:24,,,HDTRN,ACTIVE,HEAD DEPARTEMENT OF TRAINING
718,CORPORATE_POSITION,SYSTEM,2019-11-27 06:48:38,,,STAFFHR,ACTIVE,HR ADMIN
719,CORPORATE_POSITION,SYSTEM,2019-11-27 06:48:52,,,STAFFPSI,ACTIVE,STAFF PSIKOTEST
720,CORPORATE_POSITION,SYSTEM,2019-11-27 06:49:08,,,STAFFPAY,ACTIVE,STAFF PAYROLL
721,CORPORATE_POSITION,SYSTEM,2019-11-27 06:49:23,,,STAFFTAX,ACTIVE,STAFF TAX-PAYROLL
722,CORPORATE_POSITION,SYSTEM,2019-11-27 06:50:52,,,STAFFTRAIN,ACTIVE,STAFF HR-TRAINING
723,CORPORATE_POSITION,SYSTEM,2019-11-27 06:52:06,,,STAFFACCOUNT,ACTIVE,STAFF ACCOUNTING
724,CORPORATE_POSITION,SYSTEM,2019-11-27 06:52:28,,,STAFFTREASSURE,ACTIVE,STAFF TREASSURY
725,CORPORATE_POSITION,SYSTEM,2019-11-27 06:53:11,,,STAFFNETWORKING,ACTIVE,STAFF NETWORKING
726,CORPORATE_POSITION,SYSTEM,2019-11-27 06:53:41,,,STAFFARCHITECH,ACTIVE,IT SOULUTION ARCHITECH
739,CORPORATE_POSITION,SYSTEM,2019-11-27 07:03:15,,,HDSAL,ACTIVE,HEAD DEPARTEMENT OF SALES
740,CORPORATE_POSITION,SYSTEM,2019-11-27 07:03:30,,,HDPARTNER,ACTIVE,HEAD DEPARTEMENT OF PARTNERSHIP
741,CORPORATE_POSITION,SYSTEM,2019-11-27 07:03:46,,,HDPROM,ACTIVE,HEAD DEPARTEMENT OF PROMOTION
742,CORPORATE_POSITION,SYSTEM,2019-11-27 07:08:50,,,HDISA,ACTIVE,HEAD DEPARTEMENT OF IT SOLUTION ARCHITECH
743,CORPORATE_POSITION,SYSTEM,2019-11-27 07:09:03,,,HDN,ACTIVE,HEAD DEPARTEMENT OF NETWORKING
744,CORPORATE_POSITION,SYSTEM,2019-11-27 07:09:15,,,HDSA,ACTIVE,HEAD DEPARTEMENT OF SYSTEM ADMIN
745,CORPORATE_POSITION,SYSTEM,2019-11-27 07:09:57,,,HDBA,ACTIVE,HEAD DEPARTEMENT OF BUSINESS ANALYST
746,CORPORATE_POSITION,SYSTEM,2019-11-27 07:10:21,,,HDQA,ACTIVE,HEAD DEPARTEMENT OF QUALITY ASSURANCE
747,CORPORATE_POSITION,SYSTEM,2019-11-27 07:10:44,,,TECHLEAD,ACTIVE,TECH LEAD
717,CORPORATE_POSITION,SYSTEM,2019-11-27 06:47:19,,,STAFFMPP,ACTIVE,STAFF MPP
749,CORPORATE_POSITION,SYSTEM,2019-11-28 10:44:53,,,INV,ACTIVE,STAFF INVENTORY
748,CORPORATE_POSITION,SYSTEM,2019-11-28 08:32:41,SYSTEM,2019-11-28 09:17:15,U,INACTIVE,UUUUU
751,CORPORATE_POSITION,SYSTEM,2019-11-29 13:42:28,SYSTEM,2019-11-29 14:34:15,UUUUU,INACTIVE,uuuu
753,CORPORATE_POSITION,SYSTEM,2019-12-01 10:08:09,SYSTEM,2019-12-02 05:52:47,CORP-002,INACTIVE,DIRECTOR
752,CORPORATE_POSITION,SYSTEM,2019-12-01 10:08:09,SYSTEM,2019-12-02 05:50:37,CORP-001,INACTIVE,ID DEPARTMENT
816,CORPORATE_POSITION,EMP-205,2020-01-05 16:27:34,EMP-205,,ACHK,ACTIVE,Account Officer Hunter Funding dan KTA
817,CORPORATE_POSITION,EMP-205,2020-01-06 09:19:12,EMP-205,,ACHU,ACTIVE,Account Officer Hunter UMKM
818,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOBFL,ACTIVE,Account Officer Bidang Farmer Lending
819,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOBN1,ACTIVE,Account Officer Bisnis 1
820,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOBN2,ACTIVE,Account Officer Bisnis 2
821,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOBN3,ACTIVE,ACCOUNT OFFICER BISNIS 3
811,CORPORATE_POSITION,SYSTEM,2020-01-06 06:04:14,,,ACCFU,ACTIVE,Account Officer Funding
812,CORPORATE_POSITION,SYSTEM,2020-01-06 06:04:14,,,ACCLD,ACTIVE,Account Officer Lending
813,CORPORATE_POSITION,SYSTEM,2020-01-06 06:04:14,,,ACCLK,ACTIVE,Account Officer Lending Komersil
814,CORPORATE_POSITION,EMP-205,2020-01-05 16:27:34,EMP-205,,ACCOF,ACTIVE,Account Officer
815,CORPORATE_POSITION,EMP-205,2020-01-05 16:27:34,EMP-205,,ACHF,ACTIVE,Account Officer Hunter Funding
822,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOBNS,ACTIVE,Account Officer Bisnis Sindikasi
823,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOCC,ACTIVE,Account Officer Commercial & Corporation
824,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AODBS,ACTIVE,Account Officer Direkt. Bisnis Sindikasi
825,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOFF,ACTIVE,Account Officer Farmer Funding
826,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOFK,ACTIVE,Account Officer Bidang Farmer KPR/KTA
827,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOFKK,ACTIVE,Account Officer FLPP/KUR/KTA
828,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOHC,ACTIVE,Account Officer Hunter Consumer & KTA
829,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOKLO,ACTIVE,Account Officer Lending-Konsumer
830,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOKON,ACTIVE,Account Officer Konsumer
831,CORPORATE_POSITION,SYSTEM,2020-01-05 16:27:37,SYSTEM,2020-01-05 16:27:37,AOLEK,ACTIVE,Account Officer Lending-KUR
