termination_obj_disc,id,createdby,createddate,recordid,updatedby,updateddate,employeeid,requestby,terminationcategory,terminationdocumentdate,terminationdocumentnumber,terminationdocumenturl,terminationeffectivedate,terminationid,terminationnotes,terminationpphenddate,terminationreason,terminationrequestdate,terminationspkdate,terminationspknumber,terminationstatus,terminationtype,terminationstate,terminationdocuments
TerminationEntryProjection,130,EMP-002279,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002279,EMP-002279,,,,,12-06-20,TRN-130,,12-06-20,,12-06-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,131,EMP-002260,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002260,EMP-002260,,,,,01-06-20,TRN-131,,01-06-20,,01-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,132,EMP-000979,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000979,EMP-000979,,,,,03-06-20,TRN-132,,03-06-20,,03-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,133,EMP-001122,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001122,EMP-001122,,,,,09-06-20,TRN-133,,09-06-20,,09-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,134,EMP-000090,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000090,EMP-000090,,,,,01-07-20,TRN-134,,01-07-20,,01-07-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,135,EMP-000713,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000713,EMP-000713,,,,,17-06-20,TRN-135,,17-06-20,,17-06-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,136,EMP-001944,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001944,EMP-001944,,,,,01-07-20,TRN-136,,01-07-20,,01-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,137,EMP-002286,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002286,EMP-002286,,,,,20-06-20,TRN-137,,20-06-20,,20-06-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,138,EMP-002404,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002404,EMP-002404,,,,,16-06-20,TRN-138,,16-06-20,,16-06-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,139,EMP-001988,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001988,EMP-001988,,,,,27-06-20,TRN-139,,27-06-20,,27-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,140,EMP-000405,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000405,EMP-000405,,,,,30-06-20,TRN-140,,30-06-20,,30-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,141,EMP-000083,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000083,EMP-000083,,,,,30-06-20,TRN-141,,30-06-20,,30-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,142,EMP-000350,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000350,EMP-000350,,,,,07-06-20,TRN-142,,07-06-20,,07-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,143,EMP-001787,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001787,EMP-001787,,,,,03-06-20,TRN-143,,03-06-20,,03-06-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,144,EMP-001357,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001357,EMP-001357,,,,,14-06-20,TRN-144,,14-06-20,,14-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,145,EMP-000757,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000757,EMP-000757,,,,,14-06-20,TRN-145,,14-06-20,,14-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,146,EMP-001940,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001940,EMP-001940,,,,,01-07-20,TRN-146,,01-07-20,,01-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,147,EMP-001942,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001942,EMP-001942,,,,,01-07-20,TRN-147,,01-07-20,,01-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,148,EMP-002385,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002385,EMP-002385,,,,,11-06-20,TRN-148,,11-06-20,,11-06-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,149,EMP-001337,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001337,EMP-001337,,,,,04-06-20,TRN-149,,04-06-20,,04-06-20,,,APPROVED,TERTYP-003,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,150,EMP-000954,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000954,EMP-000954,,,,,03-06-20,TRN-150,,03-06-20,,03-06-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,151,EMP-002323,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002323,EMP-002323,,,,,05-06-20,TRN-151,,05-06-20,,05-06-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,152,EMP-002037,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002037,EMP-002037,,,,,01-07-20,TRN-152,,01-07-20,,01-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,153,EMP-000257,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000257,EMP-000257,,,,,03-07-20,TRN-153,,03-07-20,,03-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,154,EMP-002272,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002272,EMP-002272,,,,,01-07-20,TRN-154,,01-07-20,,01-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,155,EMP-000398,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000398,EMP-000398,,,,,01-08-20,TRN-155,,01-08-20,,01-08-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,156,EMP-000747,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000747,EMP-000747,,,,,15-07-20,TRN-156,,15-07-20,,15-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,157,EMP-000909,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000909,EMP-000909,,,,,29-07-20,TRN-157,,29-07-20,,29-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,158,EMP-000941,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-000941,EMP-000941,,,,,21-07-20,TRN-158,,21-07-20,,21-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,159,EMP-001036,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001036,EMP-001036,,,,,01-08-20,TRN-159,,01-08-20,,01-08-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,160,EMP-001121,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001121,EMP-001121,,,,,01-08-20,TRN-160,,01-08-20,,01-08-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,161,EMP-002232,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002232,EMP-002232,,,,,31-07-20,TRN-161,,31-07-20,,31-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,162,EMP-001287,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001287,EMP-001287,,,,,04-07-20,TRN-162,,04-07-20,,04-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,163,EMP-001319,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001319,EMP-001319,,,,,30-07-20,TRN-163,,30-07-20,,30-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,164,EMP-001342,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001342,EMP-001342,,,,,02-07-20,TRN-164,,02-07-20,,02-07-20,,,APPROVED,TERTYP-003,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,165,EMP-001362,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001362,EMP-001362,,,,,21-07-20,TRN-165,,21-07-20,,21-07-20,,,APPROVED,TERTYP-002,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,166,EMP-001497,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-001497,EMP-001497,,,,,10-07-20,TRN-166,,10-07-20,,10-07-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
TerminationEntryProjection,167,EMP-002283,6/30/2020 10:18,,SYSTEM,6/30/2020 10:18,EMP-002283,EMP-002283,,,,,27-07-20,TRN-167,,27-07-20,,27-07-20,,,APPROVED,TERTYP-001,TERMINATION_DOCUPLOAD_SUBMISSION,
