id;bizparcategory;createdby;createddate;modifiedby;modifieddate;bizparkey;bizparstatus;bizparvalue
1;ABSENCE_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;ABSTYP-001;ACTIVE;REGULAR
2;ABSENCE_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;ABSTYP-002;ACTIVE;SHIFT
3;ADDRESS_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;ADDTYP-001;ACTIVE;DOMISILI
4;ADDRESS_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;ADDTYP-002;ACTIVE;KTP
5;ADDRESS_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;ADDTYP-003;ACTIVE;ALAMAT KANTOR
6;BANK;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BANK-001;ACTIVE;PT. Bank Artha Graha International Tbk
7;BANK;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BANK-008;ACTIVE;PT. Bank Permata Tbk
8;BLACKLIST_CATEGORY;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLATYP-001-BLACAT-001;ACTIVE;Surat Teguran
9;BLACKLIST_CATEGORY;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLATYP-002-BLACAT-001;ACTIVE;SP 1
10;BLACKLIST_CATEGORY;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLATYP-002-BLACAT-002;ACTIVE;SP 2
11;BLACKLIST_CATEGORY;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLATYP-002-BLACAT-003;ACTIVE;SP 3
12;BLACKLIST_CATEGORY;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLATYP-003-BLACAT-001;ACTIVE;Permanent
13;BLACKLIST_TYPE;SYSTEM;26/06/2019 16:40;SYSTEM;26/06/2019 16:40;BLATYP-001;ACTIVE;Surat Teguran
